"Antal bostadsbyggnader efter region, bygg�r och vart 5:e �r"

"region","bygg�r","2022"
"0117C1060","2021-2030",1
"0117C1060","Ok�nt",2
"0117C1060","Totalt",596
"0117C1070","-1920",2
"0117C1070","1921-1930",8
"0117C1070","1931-1940",25
"0117C1070","1941-1950",20
"0117C1070","1951-1960",3
"0117C1070","1961-1970",9
"0117C1070","1971-1980",299
"0117C1070","1981-1990",96
"0117C1070","1991-2000",104
"0117C1070","2001-2010",127
"0117C1070","2011-2020",29
"0117C1070","2021-2030",4
"0117C1070","Ok�nt",..
"0117C1070","Totalt",726
"0117C1080","-1920",23
"0117C1080","1921-1930",7
"0117C1080","1931-1940",19
"0117C1080","1941-1950",19
"0117C1080","1951-1960",161
"0117C1080","1961-1970",102
"0117C1080","1971-1980",56
"0117C1080","1981-1990",293
"0117C1080","1991-2000",226
"0117C1080","2001-2010",162
"0117C1080","2011-2020",39
"0117C1080","2021-2030",35
"0117C1080","Ok�nt",..
"0117C1080","Totalt",1142
"0117C1090","-1920",..
"0117C1090","1921-1930",..
"0117C1090","1931-1940",..
"0117C1090","1941-1950",..
"0117C1090","1951-1960",..
"0117C1090","1961-1970",..
"0117C1090","1971-1980",304
"0117C1090","1981-1990",184
"0117C1090","1991-2000",29
"0117C1090","2001-2010",13
"0117C1090","2011-2020",20
"0117C1090","2021-2030",36
"0117C1090","Ok�nt",..
"0117C1090","Totalt",586
"0117C1100","-1920",..
"0117C1100","1921-1930",1
"0117C1100","1931-1940",1
"0117C1100","1941-1950",..
"0117C1100","1951-1960",..
"0117C1100","1961-1970",..
"0117C1100","1971-1980",499
"0117C1100","1981-1990",9
"0117C1100","1991-2000",5
"0117C1100","2001-2010",16
"0117C1100","2011-2020",..
"0117C1100","2021-2030",6
"0117C1100","Ok�nt",..
"0117C1100","Totalt",537
"0117C1110","-1920",..
"0117C1110","1921-1930",..
"0117C1110","1931-1940",..
"0117C1110","1941-1950",..
"0117C1110","1951-1960",..
"0117C1110","1961-1970",5
"0117C1110","1971-1980",8
"0117C1110","1981-1990",..
"0117C1110","1991-2000",..
"0117C1110","2001-2010",3
"0117C1110","2011-2020",6
"0117C1110","2021-2030",..
"0117C1110","Ok�nt",..
"0117C1110","Totalt",22
"0117C1120","-1920",2
"0117C1120","1921-1930",1
"0117C1120","1931-1940",3
"0117C1120","1941-1950",18
"0117C1120","1951-1960",24
"0117C1120","1961-1970",111
"0117C1120","1971-1980",56
"0117C1120","1981-1990",26
"0117C1120","1991-2000",6
"0117C1120","2001-2010",26
"0117C1120","2011-2020",3
"0117C1120","2021-2030",..
"0117C1120","Ok�nt",1
"0117C1120","Totalt",277
"0117C1130","-1920",4
"0117C1130","1921-1930",..
"0117C1130","1931-1940",..
"0117C1130","1941-1950",4
"0117C1130","1951-1960",2
"0117C1130","1961-1970",1
"0117C1130","1971-1980",..
"0117C1130","1981-1990",201
"0117C1130","1991-2000",83
"0117C1130","2001-2010",17
"0117C1130","2011-2020",68
"0117C1130","2021-2030",1
"0117C1130","Ok�nt",1
"0117C1130","Totalt",382
"0117C1140","-1920",..
"0117C1140","1921-1930",3
"0117C1140","1931-1940",11
"0117C1140","1941-1950",3
"0117C1140","1951-1960",13
"0117C1140","1961-1970",24
"0117C1140","1971-1980",10
"0117C1140","1981-1990",7
"0117C1140","1991-2000",9
"0117C1140","2001-2010",15
"0117C1140","2011-2020",11
"0117C1140","2021-2030",..
"0117C1140","Ok�nt",1
"0117C1140","Totalt",107
"0117C1150","-1920",1
"0117C1150","1921-1930",4
"0117C1150","1931-1940",10
"0117C1150","1941-1950",1
"0117C1150","1951-1960",3
"0117C1150","1961-1970",224
"0117C1150","1971-1980",6
"0117C1150","1981-1990",16
"0117C1150","1991-2000",..
"0117C1150","2001-2010",8
"0117C1150","2011-2020",5
"0117C1150","2021-2030",..
"0117C1150","Ok�nt",1
"0117C1150","Totalt",279
"0117C1160","-1920",6
"0117C1160","1921-1930",3
"0117C1160","1931-1940",10
"0117C1160","1941-1950",13
"0117C1160","1951-1960",28
"0117C1160","1961-1970",171
"0117C1160","1971-1980",183
"0117C1160","1981-1990",73
"0117C1160","1991-2000",31
"0117C1160","2001-2010",60
"0117C1160","2011-2020",115
"0117C1160","2021-2030",1
"0117C1160","Ok�nt",32
"0117C1160","Totalt",726
"0117C1170","-1920",17
"0117C1170","1921-1930",5
"0117C1170","1931-1940",9
"0117C1170","1941-1950",11
"0117C1170","1951-1960",74
"0117C1170","1961-1970",300
"0117C1170","1971-1980",125
"0117C1170","1981-1990",22
"0117C1170","1991-2000",28
"0117C1170","2001-2010",28
"0117C1170","2011-2020",13
"0117C1170","2021-2030",..
"0117C1170","Ok�nt",12
"0117C1170","Totalt",644
"0117C1180","-1920",27
"0117C1180","1921-1930",8
"0117C1180","1931-1940",5
"0117C1180","1941-1950",35
"0117C1180","1951-1960",100
"0117C1180","1961-1970",61
"0117C1180","1971-1980",40
"0117C1180","1981-1990",20
"0117C1180","1991-2000",50
"0117C1180","2001-2010",119
"0117C1180","2011-2020",29
"0117C1180","2021-2030",24
"0117C1180","Ok�nt",8
"0117C1180","Totalt",526
"0117C1190","-1920",6
"0117C1190","1921-1930",2
"0117C1190","1931-1940",7
"0117C1190","1941-1950",5
"0117C1190","1951-1960",39
"0117C1190","1961-1970",105
"0117C1190","1971-1980",327
"0117C1190","1981-1990",25
"0117C1190","1991-2000",6
"0117C1190","2001-2010",31
"0117C1190","2011-2020",11
"0117C1190","2021-2030",..
"0117C1190","Ok�nt",6
"0117C1190","Totalt",570
"0117C1200","-1920",21
"0117C1200","1921-1930",2
"0117C1200","1931-1940",5
"0117C1200","1941-1950",8
"0117C1200","1951-1960",11
"0117C1200","1961-1970",179
"0117C1200","1971-1980",142
"0117C1200","1981-1990",131
"0117C1200","1991-2000",11
"0117C1200","2001-2010",78
"0117C1200","2011-2020",94
"0117C1200","2021-2030",11
"0117C1200","Ok�nt",21
"0117C1200","Totalt",714
"0120A0010","-1920",1157
"0120A0010","1921-1930",476
"0120A0010","1931-1940",630
"0120A0010","1941-1950",576
"0120A0010","1951-1960",703
"0120A0010","1961-1970",1067
"0120A0010","1971-1980",1175
"0120A0010","1981-1990",758
"0120A0010","1991-2000",477
"0120A0010","2001-2010",412
"0120A0010","2011-2020",249
"0120A0010","2021-2030",49
"0120A0010","Ok�nt",257
"0120A0010","Totalt",7986
"0120C1010","-1920",39
"0120C1010","1921-1930",25
"0120C1010","1931-1940",51
"0120C1010","1941-1950",112
"0120C1010","1951-1960",199
