"Antal lägenheter efter region, upplåtelseform och år"

"region","upplåtelseform","2022"
"0123C1020","bostadsrätt",432
"0123C1020","äganderätt",223
"0123C1020","uppgift saknas",0
"0123C1030","hyresrätt",23
"0123C1030","bostadsrätt",0
"0123C1030","äganderätt",508
"0123C1030","uppgift saknas",0
"0123C1040","hyresrätt",0
"0123C1040","bostadsrätt",255
"0123C1040","äganderätt",396
"0123C1040","uppgift saknas",0
"0123C1050","hyresrätt",10
"0123C1050","bostadsrätt",166
"0123C1050","äganderätt",304
"0123C1050","uppgift saknas",0
"0123C1060","hyresrätt",30
"0123C1060","bostadsrätt",180
"0123C1060","äganderätt",588
"0123C1060","uppgift saknas",0
"0123C1070","hyresrätt",155
"0123C1070","bostadsrätt",12
"0123C1070","äganderätt",588
"0123C1070","uppgift saknas",0
"0123C1080","hyresrätt",245
"0123C1080","bostadsrätt",11
"0123C1080","äganderätt",388
"0123C1080","uppgift saknas",0
"0123C1090","hyresrätt",512
"0123C1090","bostadsrätt",626
"0123C1090","äganderätt",135
"0123C1090","uppgift saknas",220
"0123C1100","hyresrätt",40
"0123C1100","bostadsrätt",559
"0123C1100","äganderätt",409
"0123C1100","uppgift saknas",0
"0123C1110","hyresrätt",3
"0123C1110","bostadsrätt",62
"0123C1110","äganderätt",641
"0123C1110","uppgift saknas",0
"0123C1120","hyresrätt",85
"0123C1120","bostadsrätt",110
"0123C1120","äganderätt",478
"0123C1120","uppgift saknas",0
"0123C1130","hyresrätt",523
"0123C1130","bostadsrätt",0
"0123C1130","äganderätt",0
"0123C1130","uppgift saknas",0
"0123C1140","hyresrätt",2237
"0123C1140","bostadsrätt",1294
"0123C1140","äganderätt",0
"0123C1140","uppgift saknas",0
"0123C1150","hyresrätt",369
"0123C1150","bostadsrätt",799
"0123C1150","äganderätt",0
"0123C1150","uppgift saknas",0
"0123C1160","hyresrätt",548
"0123C1160","bostadsrätt",354
"0123C1160","äganderätt",0
"0123C1160","uppgift saknas",0
"0123C1170","hyresrätt",416
"0123C1170","bostadsrätt",0
"0123C1170","äganderätt",0
"0123C1170","uppgift saknas",0
"0123C1180","hyresrätt",8
"0123C1180","bostadsrätt",55
"0123C1180","äganderätt",603
"0123C1180","uppgift saknas",0
"0123C1190","hyresrätt",378
"0123C1190","bostadsrätt",505
"0123C1190","äganderätt",0
"0123C1190","uppgift saknas",0
"0123C1200","hyresrätt",293
"0123C1200","bostadsrätt",203
"0123C1200","äganderätt",54
"0123C1200","uppgift saknas",0
"0123C1210","hyresrätt",771
"0123C1210","bostadsrätt",211
"0123C1210","äganderätt",0
"0123C1210","uppgift saknas",0
"0123C1220","hyresrätt",520
"0123C1220","bostadsrätt",1570
"0123C1220","äganderätt",1
"0123C1220","uppgift saknas",0
"0123C1230","hyresrätt",910
"0123C1230","bostadsrätt",400
"0123C1230","äganderätt",0
"0123C1230","uppgift saknas",0
"0123C1240","hyresrätt",0
"0123C1240","bostadsrätt",971
"0123C1240","äganderätt",0
"0123C1240","uppgift saknas",0
"0123C1250","hyresrätt",230
"0123C1250","bostadsrätt",535
"0123C1250","äganderätt",0
"0123C1250","uppgift saknas",0
"0123C1260","hyresrätt",1314
"0123C1260","bostadsrätt",199
"0123C1260","äganderätt",0
"0123C1260","uppgift saknas",0
"0123C1270","hyresrätt",66
"0123C1270","bostadsrätt",0
"0123C1270","äganderätt",679
"0123C1270","uppgift saknas",0
"0123C1280","hyresrätt",0
"0123C1280","bostadsrätt",531
"0123C1280","äganderätt",0
"0123C1280","uppgift saknas",0
"0123C1290","hyresrätt",464
"0123C1290","bostadsrätt",464
"0123C1290","äganderätt",101
"0123C1290","uppgift saknas",0
"0123C1300","hyresrätt",6
"0123C1300","bostadsrätt",96
